"","word","Barely True","False","Half-True","Mostly-True","Not known","True"
"1","--number--",693,784,1106,1157,259,872
"2","say",361,417,411,334,192,268
"3","state",157,214,224,237,60,228
"4","year",154,170,217,224,45,178
"5","obama",134,164,142,84,105,73
"6","percent",121,129,216,243,34,191
"7","president",100,125,103,79,56,65
"8","tax",95,109,112,108,41,78
"9","care",86,96,78,64,46,54
"10","health",86,113,96,78,50,74
"11","people",81,84,106,115,39,57
"12","job",80,110,149,98,38,74
"13","million",80,78,141,117,35,78
"14","bill",70,74,75,59,30,52
"15","billion",64,69,101,64,20,36
"16","voted",64,56,47,49,26,38
"17","cut",61,50,91,74,7,36
"18","plan",58,58,56,35,24,27
"19","said",58,53,58,50,41,44
"20","clinton",57,52,40,34,26,17
"21","u.",57,78,69,67,34,57
"22","taxe",55,37,83,54,20,45
"23","obamacare",53,37,35,22,24,8
"24","time",52,53,91,75,15,65
"25","get",51,42,36,37,14,43
"26","government",50,79,59,40,32,38
"27","texa",50,46,78,63,19,56
"28","barack",49,83,53,31,46,29
"29","budget",49,76,54,68,10,37
"30","american",48,52,98,87,28,70
"31","school",47,39,69,52,19,39
"32","cost",46,43,56,49,12,20
"33","republican",46,63,75,82,24,45
"34","now",43,52,64,61,10,45
"35","hillary",42,33,29,24,24,10
"36","even",41,24,35,36,14,31
"37","security",40,31,32,17,18,18
"38","every",39,54,63,72,12,56
"39","democrat",38,36,38,22,13,25
"40","office",38,26,34,36,13,33
"41","america",35,30,32,34,15,26
"42","public",34,28,44,32,9,31
"43","social",34,29,25,12,9,16
"44","spending",34,16,40,38,10,31
"45","dollar",33,21,49,42,12,27
"46","scott",33,50,38,20,21,14
"47","support",33,28,46,24,8,25
"48","vote",33,42,29,38,14,33
"49","wisconsin",33,68,36,38,30,28
"50","last",32,45,47,67,13,51
"51","medicare",32,38,40,18,14,10
"52","taxpayer",32,18,22,19,7,17
"53","make",30,16,23,31,18,13
"54","florida",29,34,51,45,9,31
"55","took",29,18,31,24,4,16
"56","administration",28,26,45,18,12,14
"57","first",28,37,30,43,11,46
"58","united",28,51,61,59,13,40
"59","country",27,52,56,64,17,59
"60","day",27,19,37,45,16,45
"61","going",27,34,25,18,16,14
"62","illegal",27,38,30,21,17,13
"63","like",27,23,22,17,14,16
"64","worker",27,10,31,24,4,14
"65","can",26,27,37,35,17,28
"66","four",26,18,29,34,3,29
"67","rate",26,45,88,62,11,56
"68","bush",25,26,27,40,5,27
"69","congres",25,23,33,15,14,29
"70","right",25,47,43,33,11,21
"71","go",24,18,16,25,13,16
"72","gov",24,32,30,18,17,14
"73","house",24,40,23,39,13,26
"74","les",24,13,23,38,8,24
"75","since",24,31,79,70,13,74
"76","know",23,16,13,13,7,17
"77","oil",23,16,32,34,2,21
"78","walker",23,37,22,8,12,7
"79","high",22,8,23,19,5,13
"80","paid",22,11,16,26,5,18
"81","romney",22,15,40,26,9,24
"82","student",22,19,27,40,4,14
"83","abortion",21,35,23,13,10,14
"84","governor",21,32,46,33,10,41
"85","rep",21,17,13,4,23,8
"86","rick",21,24,34,20,12,11
"87","want",21,32,37,27,21,24
"88","actually",20,13,20,24,0,16
"89","clas",20,10,14,10,9,7
"90","income",20,28,30,38,7,35
"91","increase",20,35,41,28,16,21
"92","nation",20,35,23,42,5,41
"93","nearly",20,15,34,32,8,38
"94","sen",20,19,27,12,7,20
"95","take",20,26,11,19,12,15
"96","act",19,20,33,25,4,12
"97","debt",19,22,41,33,6,36
"98","dont",19,32,29,31,17,13
"99","education",19,16,34,31,7,20
"100","give",19,21,17,17,3,8
"101","just",19,33,47,30,11,32
"102","middle",19,10,16,15,9,8
"103","per",19,27,30,31,5,22
"104","supported",19,18,24,19,2,10
"105","home",18,14,15,24,6,14
"106","almost",17,10,21,27,4,24
"107","highest",17,13,25,35,3,28
"108","put",17,17,31,12,3,12
"109","white",17,18,18,10,9,8
"110","college",16,12,28,32,3,17
"111","donald",16,14,28,26,10,19
"112","employee",16,22,20,18,2,19
"113","family",16,11,15,11,2,20
"114","group",16,13,9,3,7,4
"115","higher",16,13,23,17,2,20
"116","military",16,8,16,12,9,17
"117","never",16,36,22,24,14,21
"118","three",16,22,31,38,5,41
"119","work",16,24,37,19,9,10
"120","average",15,14,41,49,3,33
"121","deficit",15,16,28,23,1,7
"122","half",15,17,18,38,4,34
"123","property",15,6,7,14,3,14
"124","u",15,14,16,10,6,10
"125","veteran",15,9,11,5,5,13
"126","benefit",14,18,21,11,2,10
"127","busines",14,21,13,15,3,13
"128","growth",14,12,13,12,2,15
"129","increased",14,4,22,8,4,11
"130","mccain",14,13,15,19,5,33
"131","number",14,31,27,30,9,30
"132","policie",14,6,6,3,5,4
"133","real",14,4,7,4,5,3
"134","senior",14,13,11,5,6,6
"135","stop",14,9,5,2,3,6
"136","trillion",14,19,30,22,1,16
"137","wage",14,11,25,31,2,17
"138","border",13,13,19,13,18,6
"139","china",13,10,13,13,16,6
"140","create",13,10,13,4,5,4
"141","far",13,5,9,13,4,6
"142","five",13,19,26,28,8,19
"143","funding",13,16,28,30,7,13
"144","lost",13,16,34,21,11,12
"145","much",13,24,9,22,3,8
"146","run",13,8,10,10,3,3
"147","spend",13,12,17,23,5,23
"148","thing",13,12,11,5,0,10
"149","companie",12,18,23,22,2,12
"150","created",12,14,37,21,12,10
"151","foreign",12,8,11,4,8,10
"152","georgia",12,13,34,26,3,46
"153","member",12,13,13,22,11,29
"154","mitt",12,12,27,20,7,17
"155","month",12,16,30,36,3,24
"156","planned",12,6,8,12,7,10
"157","world",12,21,32,45,13,22
"158","ago",11,10,13,15,6,21
"159","crime",11,16,17,19,7,21
"160","free",11,12,10,4,9,4
"161","got",11,13,19,26,8,9
"162","iraq",11,12,16,12,1,17
"163","level",11,7,12,24,4,13
"164","making",11,13,14,12,7,2
"165","mandate",11,8,6,7,3,4
"166","term",11,8,16,16,6,20
"167","today",11,21,24,44,6,27
"168","wall",11,6,13,6,6,4
"169","ban",10,9,13,7,6,7
"170","came",10,11,10,15,3,9
"171","david",10,10,6,14,5,3
"172","employer",10,5,5,4,1,4
"173","end",10,12,9,12,7,8
"174","ever",10,25,13,16,4,12
"175","men",10,5,11,9,2,6
"176","mexico",10,11,14,10,0,5
"177","north",10,4,6,12,2,1
"178","option",10,5,1,3,1,1
"179","paul",10,14,16,7,1,10
"180","reduce",10,7,12,4,1,2
"181","reserve",10,5,3,6,2,4
"182","senator",10,10,15,9,2,19
"183","sex",10,7,10,8,4,4
"184","single",10,15,23,19,4,7
"185","top",10,7,23,23,1,24
"186","tried",10,5,7,4,4,4
"187","weve",10,14,26,25,3,18
"188","able",9,10,3,9,2,4
"189","attack",9,18,9,5,4,3
"190","benghazi",9,6,1,1,1,1
"191","deal",9,24,20,11,3,6
"192","foundation",9,1,2,1,1,1
"193","little",9,4,3,6,2,5
"194","nothing",9,12,6,2,8,5
"195","past",9,11,22,14,4,17
"196","patient",9,4,2,5,3,2
"197","power",9,2,11,9,6,10
"198","promised",9,5,3,2,1,4
"199","provide",9,9,4,12,3,5
"200","raising",9,5,17,4,5,3
"201","six",9,9,8,21,1,19
"202","special",9,6,8,7,5,1
"203","still",9,10,17,20,3,21
"204","third",9,12,15,20,1,12
"205","tuition",9,5,4,14,0,10
"206","aid",8,8,5,12,3,5
"207","climate",8,11,4,7,1,3
"208","combined",8,10,19,9,1,17
"209","debate",8,8,8,3,5,3
"210","defense",8,4,7,18,3,5
"211","eight",8,9,19,11,2,7
"212","help",8,12,16,9,7,3
"213","idea",8,7,5,3,1,2
"214","isi",8,12,7,4,4,4
"215","jim",8,8,6,2,1,5
"216","mayor",8,11,18,6,6,9
"217","old",8,9,11,4,3,6
"218","opposed",8,7,11,5,0,8
"219","pas",8,5,5,4,2,2
"220","place",8,9,12,7,7,3
"221","recent",8,10,9,15,7,2
"222","report",8,9,14,8,9,4
"223","rob",8,4,3,3,2,0
"224","sector",8,9,24,15,4,15
"225","see",8,10,8,12,1,5
"226","stand",8,5,7,1,3,3
"227","supreme",8,15,6,6,4,14
"228","trade",8,13,15,8,6,7
"229","w",8,7,6,8,1,5
"230","whether",8,22,7,9,3,4
"231","bargaining",7,3,3,2,2,3
"232","bipartisan",7,3,4,7,1,9
"233","call",7,7,9,4,4,5
"234","car",7,7,9,7,8,6
"235","charge",7,10,9,3,5,5
"236","death",7,3,9,8,4,17
"237","deciding",7,5,0,0,0,0
"238","deduction",7,1,1,1,2,2
"239","different",7,3,2,3,1,10
"240","doctor",7,14,1,5,4,7
"241","email",7,7,4,5,1,1
"242","feingold",7,5,2,1,0,3
"243","former",7,8,13,4,5,8
"244","good",7,5,10,2,5,4
"245","held",7,1,4,4,1,3
"246","hispanic",7,3,9,5,0,10
"247","island",7,14,15,18,7,23
"248","january",7,2,4,2,4,0
"249","kind",7,4,3,6,2,3
"250","led",7,7,9,6,4,8
"251","major",7,6,7,21,1,7
"252","medical",7,4,14,13,3,3
"253","order",7,5,6,4,6,4
"254","point",7,8,11,10,0,6
"255","poverty",7,4,13,20,0,5
"256","recall",7,3,2,0,1,5
"257","rhode",7,12,17,19,6,21
"258","second",7,17,12,19,3,9
"259","small",7,20,5,7,4,11
"260","team",7,4,1,2,6,5
"261","thousand",7,8,17,5,7,8
"262","agreed",6,2,0,1,0,1
"263","among",6,7,22,8,2,12
"264","amount",6,3,14,10,0,4
"265","bailout",6,2,9,2,0,2
"266","became",6,2,10,11,1,7
"267","businesse",6,22,10,16,4,10
"268","career",6,3,7,5,0,1
"269","carolina",6,4,4,8,1,2
"270","cast",6,4,1,3,0,1
"271","cause",6,6,4,2,2,4
"272","cent",6,7,2,9,2,8
"273","creation",6,6,15,5,3,2
"274","cruz",6,5,3,2,6,4
"275","decade",6,5,17,20,1,13
"276","drop",6,5,7,2,1,2
"277","else",6,1,4,5,0,3
"278","farm",6,2,1,5,4,5
"279","fought",6,2,3,2,0,3
"280","given",6,4,10,10,6,3
"281","gone",6,6,20,8,1,8
"282","he",6,5,13,4,3,5
"283","huge",6,1,5,3,2,1
"284","jeb",6,2,0,9,0,2
"285","jersey",6,17,9,16,2,18
"286","labor",6,9,2,8,1,4
"287","legal",6,6,11,8,0,9
"288","legislature",6,11,6,6,1,12
"289","let",6,7,9,5,7,4
"290","liberal",6,6,8,1,3,1
"291","life",6,8,16,12,8,5
"292","list",6,2,4,2,1,3
"293","lose",6,10,9,5,6,3
"294","lowest",6,8,21,24,3,13
"295","massive",6,4,7,0,1,1
"296","murphy",6,4,0,2,1,0
"297","muslim",6,12,1,5,14,4
"298","ohio",6,17,23,26,14,22
"299","opponent",6,10,7,2,4,4
"300","outside",6,7,3,2,0,0
"301","population",6,8,16,14,4,15
"302","portman",6,3,3,3,0,0
"303","presidential",6,11,5,6,3,11
"304","pro",6,4,8,7,0,3
"305","protect",6,7,7,3,1,1
"306","reduced",6,5,9,3,0,4
"307","repeal",6,4,1,4,0,2
"308","safety",6,3,5,4,1,0
"309","saudi",6,6,5,1,0,6
"310","shooting",6,5,11,2,4,2
"311","sink",6,2,3,5,0,0
"312","standard",6,3,10,6,0,2
"313","taking",6,3,10,12,1,3
"314","traffic",6,5,2,4,1,2
"315","voter",6,17,21,10,12,20
"316","well",6,12,4,2,3,10
"317","ability",5,3,1,4,0,0
"318","alex",5,2,3,5,0,1
"319","arabia",5,5,2,1,0,5
"320","around",5,2,7,10,4,3
"321","book",5,2,2,1,5,5
"322","bureaucrat",5,7,1,2,3,1
"323","cap",5,8,3,3,5,4
"324","card",5,1,0,2,2,2
"325","check",5,4,14,15,4,12
"326","christian",5,10,2,1,2,1
"327","claim",5,7,5,3,3,11
"328","commission",5,11,1,2,0,3
"329","council",5,5,2,2,4,7
"330","cuccinelli",5,1,1,0,2,0
"331","delay",5,0,1,0,1,0
"332","easier",5,3,2,1,0,0
"333","fact",5,10,15,5,7,13
"334","food",5,4,10,14,10,10
"335","forcing",5,1,0,0,0,0
"336","gulf",5,1,6,2,2,0
"337","holding",5,3,1,1,3,0
"338","id",5,5,3,5,2,6
"339","immediately",5,2,3,1,0,1
"340","include",5,10,13,4,5,2
"341","key",5,0,2,0,1,3
"342","kid",5,11,16,7,2,13
"343","lane",5,1,1,2,1,1
"344","low",5,4,12,10,1,5
"345","lower",5,6,14,13,1,7
